id,sleep_day,total_sleep_records,total_minutes_asleep,total_time_in_bed,source_folder,activity_date,sleep_efficiency
1503960366,2016-04-12T00:00:00Z,1,327,346,fitabase_2016_04_12_to_2016_05_12,2016-04-12,94.5
1503960366,2016-04-13T00:00:00Z,2,384,407,fitabase_2016_04_12_to_2016_05_12,2016-04-13,94.3
1503960366,2016-04-15T00:00:00Z,1,412,442,fitabase_2016_04_12_to_2016_05_12,2016-04-15,93.2
1503960366,2016-04-16T00:00:00Z,2,340,367,fitabase_2016_04_12_to_2016_05_12,2016-04-16,92.6
1503960366,2016-04-17T00:00:00Z,1,700,712,fitabase_2016_04_12_to_2016_05_12,2016-04-17,98.3
1503960366,2016-04-19T00:00:00Z,1,304,320,fitabase_2016_04_12_to_2016_05_12,2016-04-19,95
1503960366,2016-04-20T00:00:00Z,1,360,377,fitabase_2016_04_12_to_2016_05_12,2016-04-20,95.5
1503960366,2016-04-21T00:00:00Z,1,325,364,fitabase_2016_04_12_to_2016_05_12,2016-04-21,89.3
1503960366,2016-04-23T00:00:00Z,1,361,384,fitabase_2016_04_12_to_2016_05_12,2016-04-23,94
1503960366,2016-04-24T00:00:00Z,1,430,449,fitabase_2016_04_12_to_2016_05_12,2016-04-24,95.8
1503960366,2016-04-25T00:00:00Z,1,277,323,fitabase_2016_04_12_to_2016_05_12,2016-04-25,85.8
1503960366,2016-04-26T00:00:00Z,1,245,274,fitabase_2016_04_12_to_2016_05_12,2016-04-26,89.4
1503960366,2016-04-28T00:00:00Z,1,366,393,fitabase_2016_04_12_to_2016_05_12,2016-04-28,93.1
1503960366,2016-04-29T00:00:00Z,1,341,354,fitabase_2016_04_12_to_2016_05_12,2016-04-29,96.3
1503960366,2016-04-30T00:00:00Z,1,404,425,fitabase_2016_04_12_to_2016_05_12,2016-04-30,95.1
1503960366,2016-05-01T00:00:00Z,1,369,396,fitabase_2016_04_12_to_2016_05_12,2016-05-01,93.2
1503960366,2016-05-02T00:00:00Z,1,277,309,fitabase_2016_04_12_to_2016_05_12,2016-05-02,89.6
1503960366,2016-05-03T00:00:00Z,1,273,296,fitabase_2016_04_12_to_2016_05_12,2016-05-03,92.2
1503960366,2016-05-05T00:00:00Z,1,247,264,fitabase_2016_04_12_to_2016_05_12,2016-05-05,93.6
1503960366,2016-05-06T00:00:00Z,1,334,367,fitabase_2016_04_12_to_2016_05_12,2016-05-06,91
1503960366,2016-05-07T00:00:00Z,1,331,349,fitabase_2016_04_12_to_2016_05_12,2016-05-07,94.8
1503960366,2016-05-08T00:00:00Z,1,594,611,fitabase_2016_04_12_to_2016_05_12,2016-05-08,97.2
1503960366,2016-05-09T00:00:00Z,1,338,342,fitabase_2016_04_12_to_2016_05_12,2016-05-09,98.8
1503960366,2016-05-10T00:00:00Z,1,383,403,fitabase_2016_04_12_to_2016_05_12,2016-05-10,95
1503960366,2016-05-11T00:00:00Z,1,285,306,fitabase_2016_04_12_to_2016_05_12,2016-05-11,93.1
1644430081,2016-04-29T00:00:00Z,1,119,127,fitabase_2016_04_12_to_2016_05_12,2016-04-29,93.7
1644430081,2016-04-30T00:00:00Z,1,124,142,fitabase_2016_04_12_to_2016_05_12,2016-04-30,87.3
1644430081,2016-05-02T00:00:00Z,1,796,961,fitabase_2016_04_12_to_2016_05_12,2016-05-02,82.8
1644430081,2016-05-08T00:00:00Z,1,137,154,fitabase_2016_04_12_to_2016_05_12,2016-05-08,89
1844505072,2016-04-15T00:00:00Z,1,644,961,fitabase_2016_04_12_to_2016_05_12,2016-04-15,67
1844505072,2016-04-30T00:00:00Z,1,722,961,fitabase_2016_04_12_to_2016_05_12,2016-04-30,75.1
1844505072,2016-05-01T00:00:00Z,1,590,961,fitabase_2016_04_12_to_2016_05_12,2016-05-01,61.4
1927972279,2016-04-12T00:00:00Z,3,750,775,fitabase_2016_04_12_to_2016_05_12,2016-04-12,96.8
1927972279,2016-04-13T00:00:00Z,1,398,422,fitabase_2016_04_12_to_2016_05_12,2016-04-13,94.3
1927972279,2016-04-15T00:00:00Z,2,475,499,fitabase_2016_04_12_to_2016_05_12,2016-04-15,95.2
1927972279,2016-04-26T00:00:00Z,1,296,315,fitabase_2016_04_12_to_2016_05_12,2016-04-26,94
1927972279,2016-04-28T00:00:00Z,1,166,178,fitabase_2016_04_12_to_2016_05_12,2016-04-28,93.3
2026352035,2016-04-12T00:00:00Z,1,503,546,fitabase_2016_04_12_to_2016_05_12,2016-04-12,92.1
2026352035,2016-04-13T00:00:00Z,1,531,565,fitabase_2016_04_12_to_2016_05_12,2016-04-13,94
2026352035,2016-04-14T00:00:00Z,1,545,568,fitabase_2016_04_12_to_2016_05_12,2016-04-14,96
2026352035,2016-04-15T00:00:00Z,1,523,573,fitabase_2016_04_12_to_2016_05_12,2016-04-15,91.3
2026352035,2016-04-16T00:00:00Z,1,524,567,fitabase_2016_04_12_to_2016_05_12,2016-04-16,92.4
2026352035,2016-04-17T00:00:00Z,1,437,498,fitabase_2016_04_12_to_2016_05_12,2016-04-17,87.8
2026352035,2016-04-19T00:00:00Z,1,498,540,fitabase_2016_04_12_to_2016_05_12,2016-04-19,92.2
2026352035,2016-04-20T00:00:00Z,1,461,510,fitabase_2016_04_12_to_2016_05_12,2016-04-20,90.4
2026352035,2016-04-21T00:00:00Z,1,477,514,fitabase_2016_04_12_to_2016_05_12,2016-04-21,92.8
2026352035,2016-04-22T00:00:00Z,1,520,545,fitabase_2016_04_12_to_2016_05_12,2016-04-22,95.4
2026352035,2016-04-23T00:00:00Z,1,522,554,fitabase_2016_04_12_to_2016_05_12,2016-04-23,94.2
2026352035,2016-04-24T00:00:00Z,1,555,591,fitabase_2016_04_12_to_2016_05_12,2016-04-24,93.9
2026352035,2016-04-25T00:00:00Z,1,506,531,fitabase_2016_04_12_to_2016_05_12,2016-04-25,95.3
2026352035,2016-04-27T00:00:00Z,1,508,545,fitabase_2016_04_12_to_2016_05_12,2016-04-27,93.2
2026352035,2016-04-28T00:00:00Z,1,513,545,fitabase_2016_04_12_to_2016_05_12,2016-04-28,94.1
2026352035,2016-04-29T00:00:00Z,1,490,510,fitabase_2016_04_12_to_2016_05_12,2016-04-29,96.1
2026352035,2016-04-30T00:00:00Z,1,573,607,fitabase_2016_04_12_to_2016_05_12,2016-04-30,94.4
2026352035,2016-05-01T00:00:00Z,1,527,546,fitabase_2016_04_12_to_2016_05_12,2016-05-01,96.5
2026352035,2016-05-02T00:00:00Z,1,511,543,fitabase_2016_04_12_to_2016_05_12,2016-05-02,94.1
2026352035,2016-05-04T00:00:00Z,1,538,560,fitabase_2016_04_12_to_2016_05_12,2016-05-04,96.1
2026352035,2016-05-05T00:00:00Z,1,468,485,fitabase_2016_04_12_to_2016_05_12,2016-05-05,96.5
2026352035,2016-05-06T00:00:00Z,1,524,548,fitabase_2016_04_12_to_2016_05_12,2016-05-06,95.6
2026352035,2016-05-07T00:00:00Z,1,511,521,fitabase_2016_04_12_to_2016_05_12,2016-05-07,98.1
2026352035,2016-05-08T00:00:00Z,1,541,568,fitabase_2016_04_12_to_2016_05_12,2016-05-08,95.2
2026352035,2016-05-09T00:00:00Z,1,531,556,fitabase_2016_04_12_to_2016_05_12,2016-05-09,95.5
2026352035,2016-05-10T00:00:00Z,1,357,380,fitabase_2016_04_12_to_2016_05_12,2016-05-10,93.9
2026352035,2016-05-11T00:00:00Z,1,523,553,fitabase_2016_04_12_to_2016_05_12,2016-05-11,94.6
2026352035,2016-05-12T00:00:00Z,1,456,485,fitabase_2016_04_12_to_2016_05_12,2016-05-12,94
2320127002,2016-04-23T00:00:00Z,1,61,69,fitabase_2016_04_12_to_2016_05_12,2016-04-23,88.4
2347167796,2016-04-13T00:00:00Z,1,467,531,fitabase_2016_04_12_to_2016_05_12,2016-04-13,87.9
2347167796,2016-04-14T00:00:00Z,1,445,489,fitabase_2016_04_12_to_2016_05_12,2016-04-14,91
2347167796,2016-04-15T00:00:00Z,1,452,504,fitabase_2016_04_12_to_2016_05_12,2016-04-15,89.7
2347167796,2016-04-17T00:00:00Z,1,556,602,fitabase_2016_04_12_to_2016_05_12,2016-04-17,92.4
2347167796,2016-04-18T00:00:00Z,1,500,557,fitabase_2016_04_12_to_2016_05_12,2016-04-18,89.8
2347167796,2016-04-19T00:00:00Z,1,465,514,fitabase_2016_04_12_to_2016_05_12,2016-04-19,90.5
2347167796,2016-04-21T00:00:00Z,1,460,484,fitabase_2016_04_12_to_2016_05_12,2016-04-21,95
2347167796,2016-04-22T00:00:00Z,1,405,461,fitabase_2016_04_12_to_2016_05_12,2016-04-22,87.9
2347167796,2016-04-23T00:00:00Z,1,374,386,fitabase_2016_04_12_to_2016_05_12,2016-04-23,96.9
2347167796,2016-04-24T00:00:00Z,1,442,459,fitabase_2016_04_12_to_2016_05_12,2016-04-24,96.3
2347167796,2016-04-25T00:00:00Z,1,433,471,fitabase_2016_04_12_to_2016_05_12,2016-04-25,91.9
2347167796,2016-04-26T00:00:00Z,1,436,490,fitabase_2016_04_12_to_2016_05_12,2016-04-26,89
2347167796,2016-04-27T00:00:00Z,1,448,499,fitabase_2016_04_12_to_2016_05_12,2016-04-27,89.8
2347167796,2016-04-28T00:00:00Z,1,408,450,fitabase_2016_04_12_to_2016_05_12,2016-04-28,90.7
2347167796,2016-04-29T00:00:00Z,1,411,473,fitabase_2016_04_12_to_2016_05_12,2016-04-29,86.9
3977333714,2016-04-12T00:00:00Z,1,274,469,fitabase_2016_04_12_to_2016_05_12,2016-04-12,58.4
3977333714,2016-04-13T00:00:00Z,2,295,456,fitabase_2016_04_12_to_2016_05_12,2016-04-13,64.7
3977333714,2016-04-14T00:00:00Z,1,291,397,fitabase_2016_04_12_to_2016_05_12,2016-04-14,73.3
3977333714,2016-04-15T00:00:00Z,1,424,556,fitabase_2016_04_12_to_2016_05_12,2016-04-15,76.3
3977333714,2016-04-16T00:00:00Z,1,283,510,fitabase_2016_04_12_to_2016_05_12,2016-04-16,55.5
3977333714,2016-04-17T00:00:00Z,1,381,566,fitabase_2016_04_12_to_2016_05_12,2016-04-17,67.3
3977333714,2016-04-18T00:00:00Z,2,412,522,fitabase_2016_04_12_to_2016_05_12,2016-04-18,78.9
3977333714,2016-04-19T00:00:00Z,1,219,395,fitabase_2016_04_12_to_2016_05_12,2016-04-19,55.4
3977333714,2016-04-20T00:00:00Z,2,152,305,fitabase_2016_04_12_to_2016_05_12,2016-04-20,49.8
3977333714,2016-04-21T00:00:00Z,1,332,512,fitabase_2016_04_12_to_2016_05_12,2016-04-21,64.8
3977333714,2016-04-22T00:00:00Z,1,355,476,fitabase_2016_04_12_to_2016_05_12,2016-04-22,74.6
3977333714,2016-04-23T00:00:00Z,1,235,372,fitabase_2016_04_12_to_2016_05_12,2016-04-23,63.2
3977333714,2016-04-24T00:00:00Z,1,310,526,fitabase_2016_04_12_to_2016_05_12,2016-04-24,58.9
3977333714,2016-04-25T00:00:00Z,1,262,467,fitabase_2016_04_12_to_2016_05_12,2016-04-25,56.1
3977333714,2016-04-26T00:00:00Z,1,250,371,fitabase_2016_04_12_to_2016_05_12,2016-04-26,67.4
3977333714,2016-04-27T00:00:00Z,1,349,540,fitabase_2016_04_12_to_2016_05_12,2016-04-27,64.6
3977333714,2016-04-28T00:00:00Z,1,261,423,fitabase_2016_04_12_to_2016_05_12,2016-04-28,61.7
3977333714,2016-04-29T00:00:00Z,1,333,478,fitabase_2016_04_12_to_2016_05_12,2016-04-29,69.7
3977333714,2016-04-30T00:00:00Z,1,237,382,fitabase_2016_04_12_to_2016_05_12,2016-04-30,62
3977333714,2016-05-01T00:00:00Z,1,383,626,fitabase_2016_04_12_to_2016_05_12,2016-05-01,61.2
3977333714,2016-05-02T00:00:00Z,1,230,384,fitabase_2016_04_12_to_2016_05_12,2016-05-02,59.9
3977333714,2016-05-03T00:00:00Z,1,292,500,fitabase_2016_04_12_to_2016_05_12,2016-05-03,58.4
3977333714,2016-05-04T00:00:00Z,1,213,336,fitabase_2016_04_12_to_2016_05_12,2016-05-04,63.4
3977333714,2016-05-05T00:00:00Z,1,318,480,fitabase_2016_04_12_to_2016_05_12,2016-05-05,66.2
3977333714,2016-05-06T00:00:00Z,1,323,512,fitabase_2016_04_12_to_2016_05_12,2016-05-06,63.1
3977333714,2016-05-07T00:00:00Z,1,237,443,fitabase_2016_04_12_to_2016_05_12,2016-05-07,53.5
3977333714,2016-05-08T00:00:00Z,2,259,456,fitabase_2016_04_12_to_2016_05_12,2016-05-08,56.8
3977333714,2016-05-10T00:00:00Z,1,312,452,fitabase_2016_04_12_to_2016_05_12,2016-05-10,69
4020332650,2016-04-12T00:00:00Z,1,501,541,fitabase_2016_04_12_to_2016_05_12,2016-04-12,92.6
4020332650,2016-04-16T00:00:00Z,1,77,77,fitabase_2016_04_12_to_2016_05_12,2016-04-16,100
4020332650,2016-05-03T00:00:00Z,1,322,332,fitabase_2016_04_12_to_2016_05_12,2016-05-03,97
4020332650,2016-05-04T00:00:00Z,1,478,536,fitabase_2016_04_12_to_2016_05_12,2016-05-04,89.2
4020332650,2016-05-05T00:00:00Z,1,226,248,fitabase_2016_04_12_to_2016_05_12,2016-05-05,91.1
4020332650,2016-05-06T00:00:00Z,1,385,408,fitabase_2016_04_12_to_2016_05_12,2016-05-06,94.4
4020332650,2016-05-08T00:00:00Z,1,364,402,fitabase_2016_04_12_to_2016_05_12,2016-05-08,90.5
4020332650,2016-05-10T00:00:00Z,1,442,494,fitabase_2016_04_12_to_2016_05_12,2016-05-10,89.5
4319703577,2016-04-14T00:00:00Z,1,535,557,fitabase_2016_04_12_to_2016_05_12,2016-04-14,96.1
4319703577,2016-04-15T00:00:00Z,1,465,491,fitabase_2016_04_12_to_2016_05_12,2016-04-15,94.7
4319703577,2016-04-16T00:00:00Z,1,506,522,fitabase_2016_04_12_to_2016_05_12,2016-04-16,96.9
4319703577,2016-04-18T00:00:00Z,1,515,551,fitabase_2016_04_12_to_2016_05_12,2016-04-18,93.5
4319703577,2016-04-19T00:00:00Z,2,461,498,fitabase_2016_04_12_to_2016_05_12,2016-04-19,92.6
4319703577,2016-04-20T00:00:00Z,1,523,543,fitabase_2016_04_12_to_2016_05_12,2016-04-20,96.3
4319703577,2016-04-21T00:00:00Z,1,59,65,fitabase_2016_04_12_to_2016_05_12,2016-04-21,90.8
4319703577,2016-04-22T00:00:00Z,1,533,550,fitabase_2016_04_12_to_2016_05_12,2016-04-22,96.9
4319703577,2016-04-23T00:00:00Z,1,692,722,fitabase_2016_04_12_to_2016_05_12,2016-04-23,95.8
4319703577,2016-04-24T00:00:00Z,1,467,501,fitabase_2016_04_12_to_2016_05_12,2016-04-24,93.2
4319703577,2016-04-25T00:00:00Z,1,488,506,fitabase_2016_04_12_to_2016_05_12,2016-04-25,96.4
4319703577,2016-04-26T00:00:00Z,1,505,516,fitabase_2016_04_12_to_2016_05_12,2016-04-26,97.9
4319703577,2016-04-27T00:00:00Z,1,286,307,fitabase_2016_04_12_to_2016_05_12,2016-04-27,93.2
4319703577,2016-04-28T00:00:00Z,1,497,522,fitabase_2016_04_12_to_2016_05_12,2016-04-28,95.2
4319703577,2016-04-29T00:00:00Z,1,523,546,fitabase_2016_04_12_to_2016_05_12,2016-04-29,95.8
4319703577,2016-04-30T00:00:00Z,1,490,516,fitabase_2016_04_12_to_2016_05_12,2016-04-30,95
4319703577,2016-05-01T00:00:00Z,1,484,500,fitabase_2016_04_12_to_2016_05_12,2016-05-01,96.8
4319703577,2016-05-02T00:00:00Z,1,478,506,fitabase_2016_04_12_to_2016_05_12,2016-05-02,94.5
4319703577,2016-05-03T00:00:00Z,1,474,512,fitabase_2016_04_12_to_2016_05_12,2016-05-03,92.6
4319703577,2016-05-06T00:00:00Z,1,450,491,fitabase_2016_04_12_to_2016_05_12,2016-05-06,91.6
4319703577,2016-05-07T00:00:00Z,1,507,530,fitabase_2016_04_12_to_2016_05_12,2016-05-07,95.7
4319703577,2016-05-08T00:00:00Z,1,602,638,fitabase_2016_04_12_to_2016_05_12,2016-05-08,94.4
4319703577,2016-05-09T00:00:00Z,1,535,565,fitabase_2016_04_12_to_2016_05_12,2016-05-09,94.7
4319703577,2016-05-10T00:00:00Z,1,487,517,fitabase_2016_04_12_to_2016_05_12,2016-05-10,94.2
4319703577,2016-05-11T00:00:00Z,1,529,558,fitabase_2016_04_12_to_2016_05_12,2016-05-11,94.8
4319703577,2016-05-12T00:00:00Z,1,302,321,fitabase_2016_04_12_to_2016_05_12,2016-05-12,94.1
4388161847,2016-04-15T00:00:00Z,1,499,526,fitabase_2016_04_12_to_2016_05_12,2016-04-15,94.9
4388161847,2016-04-16T00:00:00Z,2,426,448,fitabase_2016_04_12_to_2016_05_12,2016-04-16,95.1
4388161847,2016-04-17T00:00:00Z,2,619,641,fitabase_2016_04_12_to_2016_05_12,2016-04-17,96.6
4388161847,2016-04-18T00:00:00Z,1,99,104,fitabase_2016_04_12_to_2016_05_12,2016-04-18,95.2
4388161847,2016-04-19T00:00:00Z,1,329,338,fitabase_2016_04_12_to_2016_05_12,2016-04-19,97.3
4388161847,2016-04-20T00:00:00Z,1,421,451,fitabase_2016_04_12_to_2016_05_12,2016-04-20,93.3
4388161847,2016-04-21T00:00:00Z,1,442,458,fitabase_2016_04_12_to_2016_05_12,2016-04-21,96.5
4388161847,2016-04-22T00:00:00Z,1,82,85,fitabase_2016_04_12_to_2016_05_12,2016-04-22,96.5
4388161847,2016-04-23T00:00:00Z,1,478,501,fitabase_2016_04_12_to_2016_05_12,2016-04-23,95.4
4388161847,2016-04-24T00:00:00Z,3,552,595,fitabase_2016_04_12_to_2016_05_12,2016-04-24,92.8
4388161847,2016-04-26T00:00:00Z,1,319,346,fitabase_2016_04_12_to_2016_05_12,2016-04-26,92.2
4388161847,2016-04-27T00:00:00Z,1,439,500,fitabase_2016_04_12_to_2016_05_12,2016-04-27,87.8
4388161847,2016-04-28T00:00:00Z,1,428,458,fitabase_2016_04_12_to_2016_05_12,2016-04-28,93.4
4388161847,2016-04-30T00:00:00Z,2,409,430,fitabase_2016_04_12_to_2016_05_12,2016-04-30,95.1
4388161847,2016-05-01T00:00:00Z,1,547,597,fitabase_2016_04_12_to_2016_05_12,2016-05-01,91.6
4388161847,2016-05-02T00:00:00Z,2,368,376,fitabase_2016_04_12_to_2016_05_12,2016-05-02,97.9
4388161847,2016-05-04T00:00:00Z,1,390,414,fitabase_2016_04_12_to_2016_05_12,2016-05-04,94.2
4388161847,2016-05-05T00:00:00Z,1,471,495,fitabase_2016_04_12_to_2016_05_12,2016-05-05,95.2
4388161847,2016-05-07T00:00:00Z,1,472,496,fitabase_2016_04_12_to_2016_05_12,2016-05-07,95.2
4388161847,2016-05-08T00:00:00Z,2,529,541,fitabase_2016_04_12_to_2016_05_12,2016-05-08,97.8
4388161847,2016-05-09T00:00:00Z,1,62,65,fitabase_2016_04_12_to_2016_05_12,2016-05-09,95.4
4388161847,2016-05-10T00:00:00Z,1,354,375,fitabase_2016_04_12_to_2016_05_12,2016-05-10,94.4
4388161847,2016-05-11T00:00:00Z,1,469,494,fitabase_2016_04_12_to_2016_05_12,2016-05-11,94.9
4445114986,2016-04-12T00:00:00Z,2,429,457,fitabase_2016_04_12_to_2016_05_12,2016-04-12,93.9
4445114986,2016-04-13T00:00:00Z,2,370,406,fitabase_2016_04_12_to_2016_05_12,2016-04-13,91.1
4445114986,2016-04-14T00:00:00Z,1,441,492,fitabase_2016_04_12_to_2016_05_12,2016-04-14,89.6
4445114986,2016-04-15T00:00:00Z,2,337,379,fitabase_2016_04_12_to_2016_05_12,2016-04-15,88.9
4445114986,2016-04-16T00:00:00Z,1,462,499,fitabase_2016_04_12_to_2016_05_12,2016-04-16,92.6
4445114986,2016-04-17T00:00:00Z,1,98,107,fitabase_2016_04_12_to_2016_05_12,2016-04-17,91.6
4445114986,2016-04-19T00:00:00Z,2,388,424,fitabase_2016_04_12_to_2016_05_12,2016-04-19,91.5
4445114986,2016-04-20T00:00:00Z,1,439,462,fitabase_2016_04_12_to_2016_05_12,2016-04-20,95
4445114986,2016-04-21T00:00:00Z,1,436,469,fitabase_2016_04_12_to_2016_05_12,2016-04-21,93
4445114986,2016-04-22T00:00:00Z,1,388,417,fitabase_2016_04_12_to_2016_05_12,2016-04-22,93
4445114986,2016-04-25T00:00:00Z,1,328,345,fitabase_2016_04_12_to_2016_05_12,2016-04-25,95.1
4445114986,2016-04-26T00:00:00Z,2,353,391,fitabase_2016_04_12_to_2016_05_12,2016-04-26,90.3
4445114986,2016-04-27T00:00:00Z,1,332,374,fitabase_2016_04_12_to_2016_05_12,2016-04-27,88.8
4445114986,2016-04-28T00:00:00Z,1,419,442,fitabase_2016_04_12_to_2016_05_12,2016-04-28,94.8
4445114986,2016-04-29T00:00:00Z,1,106,108,fitabase_2016_04_12_to_2016_05_12,2016-04-29,98.1
4445114986,2016-04-30T00:00:00Z,1,322,353,fitabase_2016_04_12_to_2016_05_12,2016-04-30,91.2
4445114986,2016-05-01T00:00:00Z,2,439,459,fitabase_2016_04_12_to_2016_05_12,2016-05-01,95.6
4445114986,2016-05-02T00:00:00Z,1,502,542,fitabase_2016_04_12_to_2016_05_12,2016-05-02,92.6
4445114986,2016-05-03T00:00:00Z,2,417,450,fitabase_2016_04_12_to_2016_05_12,2016-05-03,92.7
4445114986,2016-05-04T00:00:00Z,2,337,363,fitabase_2016_04_12_to_2016_05_12,2016-05-04,92.8
4445114986,2016-05-05T00:00:00Z,2,462,513,fitabase_2016_04_12_to_2016_05_12,2016-05-05,90.1
4445114986,2016-05-06T00:00:00Z,2,374,402,fitabase_2016_04_12_to_2016_05_12,2016-05-06,93
4445114986,2016-05-07T00:00:00Z,2,401,436,fitabase_2016_04_12_to_2016_05_12,2016-05-07,92
4445114986,2016-05-08T00:00:00Z,1,361,391,fitabase_2016_04_12_to_2016_05_12,2016-05-08,92.3
4445114986,2016-05-09T00:00:00Z,1,457,533,fitabase_2016_04_12_to_2016_05_12,2016-05-09,85.7
4445114986,2016-05-10T00:00:00Z,1,405,426,fitabase_2016_04_12_to_2016_05_12,2016-05-10,95.1
4445114986,2016-05-11T00:00:00Z,1,499,530,fitabase_2016_04_12_to_2016_05_12,2016-05-11,94.2
4445114986,2016-05-12T00:00:00Z,1,483,501,fitabase_2016_04_12_to_2016_05_12,2016-05-12,96.4
4558609924,2016-04-21T00:00:00Z,1,126,137,fitabase_2016_04_12_to_2016_05_12,2016-04-21,92
4558609924,2016-04-26T00:00:00Z,1,103,121,fitabase_2016_04_12_to_2016_05_12,2016-04-26,85.1
4558609924,2016-04-29T00:00:00Z,1,171,179,fitabase_2016_04_12_to_2016_05_12,2016-04-29,95.5
4558609924,2016-05-01T00:00:00Z,1,115,129,fitabase_2016_04_12_to_2016_05_12,2016-05-01,89.1
4558609924,2016-05-08T00:00:00Z,1,123,134,fitabase_2016_04_12_to_2016_05_12,2016-05-08,91.8
4702921684,2016-04-12T00:00:00Z,1,425,439,fitabase_2016_04_12_to_2016_05_12,2016-04-12,96.8
4702921684,2016-04-13T00:00:00Z,2,400,430,fitabase_2016_04_12_to_2016_05_12,2016-04-13,93
4702921684,2016-04-14T00:00:00Z,1,384,415,fitabase_2016_04_12_to_2016_05_12,2016-04-14,92.5
4702921684,2016-04-15T00:00:00Z,1,253,257,fitabase_2016_04_12_to_2016_05_12,2016-04-15,98.4
4702921684,2016-04-16T00:00:00Z,2,382,406,fitabase_2016_04_12_to_2016_05_12,2016-04-16,94.1
